u,v,length,shortest_cost,risk_cost,trusted_cost
277933349,7609471567,80.19902211517851,80.19902211517851,384.5952243766136,404.88434753226807
278659481,1116501296,6.430283037986147,6.430283037986147,24.678436051696902,26.30519908499235
278659481,7975286429,63.736704481650705,63.736704481650705,229.58402599565065,245.7084351549865
278659481,7977050964,7.143250118304061,7.143250118304061,27.4146939107446,29.22182668567758
278659481,7977056082,226.45991123847003,226.45991123847003,819.590524382358,876.8814103277901
295803578,2784308454,114.42001866000986,114.42001866000986,528.8724815886962,557.818992267233
295803578,295803678,284.5166845904418,284.5166845904418,1300.162525215546,1372.1408848170333
295803578,2784308462,93.40087484334519,93.40087484334519,461.0187257996762,506.2933039743933
295803665,2653614528,55.1819327673761,55.1819327673761,251.8024880969974,298.89691850437316
295803665,295803668,29.82425009164881,29.82425009164881,142.46883765456633,178.94550054989287
295803665,5435820809,64.76205288088588,64.76205288088588,295.4692873626498,388.57231728531525
295803668,5435820799,64.33960773315896,64.33960773315896,327.1742772591754,386.0376463989537
295803668,2653614550,49.211533638996684,49.211533638996684,233.25712761901391,295.2692018339801
295803669,2784308485,182.11889801230143,182.11889801230143,825.663613788353,967.8546185829086
295803669,2784846003,138.96132756857244,138.96132756857244,647.3008815883844,833.7679654114347
295803669,5435820799,34.17145938102237,34.17145938102237,168.36122764491782,205.02875628613424
295803678,5435820809,12.339104858247307,12.339104858247307,56.326744906063155,66.65657943272241
295803678,2784308486,206.47875092040073,206.47875092040073,943.5376685879745,1115.4105115409457
296024760,500016511,832.6409451645081,832.6409451645081,3786.0108270288397,4995.845670987049
296024760,6033481369,165.50297995863767,165.50297995863767,718.4635392878887,993.0178797518261
296024760,7232025523,926.0158356654704,926.0158356654704,4292.5748814868275,5556.095013992823
296024763,499681378,83.98741204439806,83.98741204439806,405.4064681494867,426.6539958817604
296024763,296024764,361.65137210219905,361.65137210219905,1710.3009635581052,1995.8354757141644
296024763,500016511,302.9181310676898,302.9181310676898,1434.3997799869446,1671.7059545707502
296024764,2657406921,186.88115119867135,186.88115119867135,865.0348401719666,1121.2869071920281
296024764,2657830319,69.69807539830138,69.69807539830138,300.721310135571,355.75001316907236
297121024,297121027,56.77114029123718,56.77114029123718,220.15308334172857,234.51531154198798
297121024,12988540075,231.00428365887902,231.00428365887902,912.5600522101141,971.0005947133335
297121024,1722075267,37.3231915551787,37.3231915551787,136.62788695308114,146.07008225737752
297121027,5827544505,70.45161668989874,70.45161668989874,262.2427752538436,280.06595426322684
297121027,1123347201,116.67987861613324,116.67987861613324,325.3680140770137,354.88623468112115
310170186,310170187,67.77673595725894,67.77673595725894,249.16277927259844,322.6160113681885
310170186,1491845063,90.72038857940522,90.72038857940522,379.07441077333766,544.3223314764314
310170186,1491845101,304.1888146663335,304.1888146663335,1007.3350332965947,1337.0005341353913
310170187,2042441665,122.21980317472298,122.21980317472298,382.355046533752,413.27478312493514
310170187,352965781,237.49801468353292,237.49801468353292,965.5043596086994,1130.486163473305
310170187,1491845096,289.96494568381576,289.96494568381576,1081.9464653351922,1155.3031514722434
352965781,13158997505,115.84533047135018,115.84533047135018,562.870182565287,643.3439988029598
352965781,1491845065,116.20679851050053,116.20679851050053,559.3528964710308,640.0778122777584
352965781,1491845092,237.76923343811043,237.76923343811043,1053.3340615885315,1218.5042719096366
352965797,13158997505,104.73284453273523,104.73284453273523,489.836889181719,516.3326933090427
352965797,2042400930,121.84022438999702,121.84022438999702,549.5121991574911,580.3359081350268
352965797,2042400943,243.7564754495548,243.7564754495548,1090.9821072799857,1152.648758816978
352965797,2042441665,275.0618242468279,275.0618242468279,1030.0966122825553,1099.6830371587587
409391960,9000013660,34.33421900386021,34.33421900386021,164.4148728234944,173.10090389282695
409391960,409391961,351.5245778422586,351.5245778422586,1726.1403768424163,1990.99442611921
409391960,2268825364,221.1261385730212,221.1261385730212,1104.7703933143584,1160.7119165414003
409391961,8195511761,32.973765871617395,32.973765871617395,151.79241319551093,197.8425952297044
409391961,1783922636,78.81980236863174,78.81980236863174,377.1503569885747,472.91881421179045
409391968,409391970,77.58323094673598,77.58323094673598,282.47654756472946,302.10391565447065
409391968,8195511761,104.56072035336716,104.56072035336716,396.83259261013467,490.530611307308
409391968,409391983,108.12728136337624,108.12728136337624,424.19999569447333,451.55454030372033
409391970,2268825369,437.0817359984673,437.0817359984673,1884.365983135436,2273.955434198824
409391970,1492216750,299.73138168178895,299.73138168178895,1364.3364494821371,1559.3783680259198
409391983,8195511757,119.51331938222926,119.51331938222926,553.9352787718213,584.1703164535113
